Name,Number,Date,Lawrence M Farnese Jr.,Christine M. Tartaglione,Sharif Street,Art Haywood,John Patrick Sabatina Jr.,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Thomas H Killion,Steven J. Santarsiero,Judith L. Schwank,Maria Collett,Scott Martin,John T. Yudichak,John DiSanto,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E Dinniman,Lisa Baker,Scott E. Hutchinson,John P. Blake,Gene Yaw,Bob Mensch,Joseph B. Scarnati III,Timothy P. Kearney,John R. Gordner,Kristin Phillips-Hill,David G. Argall,Judy Ward,Mike Regan,Patrick J. Stefano,Doug Mastriano,Richard L. Alloway II,Jake Corman,Wayne Langerholc,Ryan P. Aument,Pam Iovino,Lindsey M. Williams,Kim L. Ward,Mario M. Scavello,Joe Pittman,Donald C. White,Wayne D. Fontana,Jay Costa,Katie J. Muth,James R. Brewster,Camera Bartolotta,Elder A. Vogel,Michael J Folmer,Daniel Laughlin,Michele Brooks
"SB 235 PN 986, FINAL PASSAGE",132,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"JOURNAL  APPROVAL OF THE PREVIOUS DAYS JOURNAL FOR APRIL 9, 2019",131,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 399 PN 947, CONCUR IN HOUSE AMENDMENTS",163,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOM  PENNSYLVANIA LIQUOR CONTROL BOARD MARY P. ISENHOUR,162,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,Y,N,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,N,Y,Y
"HB 504 PN 492, FINAL PASSAGE",161,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 502 PN 490, FINAL PASSAGE",160,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 315 PN 295, FINAL PASSAGE",159,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 276 PN 284, FINAL PASSAGE",158,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 223 PN 1018, FINAL PASSAGE",157,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 166 PN 985, FINAL PASSAGE",156,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 123 PN 1000, FINAL PASSAGE",155,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 112 PN 1017, FINAL PASSAGE",154,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 112 PN 1017, A2213, MUTH AMENDMENT NO. A-2213",153,None,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,N,,Y,Y,Y,Y,N,N,N,N,N
"SB 241 PN 1016, FINAL PASSAGE",152,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
RECESS  RECESS RESOLUTION,151,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 751 PN 1055, FINAL PASSAGE",173,None,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,N,Y,Y,Y,,Y,N,N,Y,Y,Y,Y,X,Y
"HB 1172 PN 1989, FINAL PASSAGE",172,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
"HB 1172 PN 1989, A2101, MUTH AMENDMENT NO. A-2101",171,None,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,Y,N,Y,Y,N,N,N,,Y,Y,Y,Y,N,N,N,X,N
"HB 826 PN 2085, FINAL PASSAGE",170,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
"HB 751 PN 876, FINAL PASSAGE",169,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
"SB 669 PN 813, FINAL PASSAGE",168,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
"SB 590 PN 705, FINAL PASSAGE",167,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
"HB 448 PN 2181, FINAL PASSAGE",166,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
"SB 325 PN 307, FINAL PASSAGE",165,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
"JOURNAL  APPROVAL OF THE PREVIOUS DAYS JOURNAL FOR APRIL 10, 23, 29, 30, 2019",164,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,X,Y
EXECNOMS  EXECUTIVE NOMINATIONS (ATTACHED),195,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 147 PN 195, A2534, LAUGHLIN AMENDMENT NO. A-2534 RECONSIDERED",194,None,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,N,Y,Y,N
"SB 778 PN 1064, FINAL PASSAGE",193,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 745 PN 1063, FINAL PASSAGE",192,None,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"SB 744 PN 1062, FINAL PASSAGE",191,None,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,Y,Y,Y,Y,Y,Y
"SB 743 PN 1061, FINAL PASSAGE",190,None,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"SB 742 PN 1060, FINAL PASSAGE",189,None,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"SB 147 PN 195, A2534, LAUGHLIN AMENDMENT NO. A-2534",188,None,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,N,Y,Y,N
"HB 786 PN 2187, A2240, BOSCOLA AMENDMENT NO. A-2240",187,None,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 746 PN 923, FINAL PASSAGE",186,None,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,Y,Y,Y,Y,Y,Y
"SB 607 PN 675, FINAL PASSAGE",185,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 548 PN 887, FINAL PASSAGE",184,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 547 PN 886, FINAL PASSAGE",183,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 456 PN 1056, FINAL PASSAGE",182,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 422 PN 399, FINAL PASSAGE",181,None,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"SB 421 PN 1015, FINAL PASSAGE",180,None,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"SB 418 PN 1014, FINAL PASSAGE",179,None,N,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"SB 418 PN 1014, A2481, MUTH AMENDMENT NO. A-2481",178,None,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,N,,Y,Y,Y,Y,N,N,N,N,N
"SB 300 PN 1011, FINAL PASSAGE",177,None,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 300 PN 1011, A2198, MUTH AMENDMENT NO. A-2198",176,None,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,N,,Y,Y,Y,Y,N,N,N,N,N
"HB 65 PN 2240, FINAL PASSAGE",175,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"JOURNAL  APPROVAL OF THE PREVIOUS DAYS JOURNAL FOR MAY 1, 6, 2019",174,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 701 PN 1025, CONCUR IN HOUSE AMENDMENTS",226,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 699 PN 1027, CONCUR IN HOUSE AMENDMENTS",225,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 698 PN 1026, CONCUR IN HOUSE AMENDMENTS",224,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 130 PN 1054, CONCUR IN HOUSE AMENDMENTS",223,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 661 PN 1075, CONCUR IN HOUSE AMENDMENTS",222,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 634 PN 1035, CONCUR IN HOUSE AMENDMENTS",221,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 585 PN 946, CONCUR IN HOUSE AMENDMENTS",220,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 478 PN 1067, CONCUR IN HOUSE AMENDMENTS",219,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1590 PN 2213, FINAL PASSAGE",218,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1526 PN 2126, FINAL PASSAGE",217,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1524 PN 2066, FINAL PASSAGE",216,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1520 PN 2212, FINAL PASSAGE",215,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1516 PN 2124, FINAL PASSAGE",214,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1514 PN 1910, FINAL PASSAGE",213,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 915 PN 1487, FINAL PASSAGE",212,None,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,Y,Y,Y,Y,Y,Y
"HB 856 PN 1333, FINAL PASSAGE",211,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 807 PN 900, FINAL PASSAGE",210,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 786 PN 2242, FINAL PASSAGE",209,None,N,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 619 PN 857, FINAL PASSAGE",208,None,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"HB 615 PN 1784, FINAL PASSAGE",207,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 575 PN 930, FINAL PASSAGE",206,None,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,Y,Y,Y,Y,Y,Y
"HB 370 PN 360, FINAL PASSAGE",205,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 147 PN 1066, FINAL PASSAGE",204,None,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,Y,N,Y,,Y,N,Y,Y,Y,N,Y,Y,N
"HB 33 PN 2182, FINAL PASSAGE",203,None,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"HB 33 PN 2182, MOTION FOR THE PREVIOUS QUESTION",202,None,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,Y,Y,Y,,N,N,N,N,Y,Y,Y,Y,Y
"HB 33 PN 2182, A2506, HUGHES AMENDMENT NO. A-2506",201,None,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,N,,Y,Y,Y,Y,N,N,N,N,N
"SB 440 PN 1029, CONCUR IN HOUSE AMENDMENTS",200,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 128 PN 1045, CONCUR IN HOUSE AMENDMENTS",199,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 127 PN 961, CONCUR IN HOUSE AMENDMENTS",198,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
