Name,Number,Date,Nikil Saval,Christine M. Tartaglione,Sharif Street,Art Haywood,John P. Sabatina Jr.,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,John I. Kane,Steven J. Santarsiero,Judith L. Schwank,Maria Collett,Scott Martin,John T. Yudichak,John DiSanto,Patrick M. Browne,Amanda M. Cappelletti,Lisa M. Boscola,Carolyn T. Comitta,Lisa Baker,Scott E. Hutchinson,Marty Flynn,John P. Blake,Gene Yaw,Bob Mensch,Cris Dush,Timothy P. Kearney,John R. Gordner,Kristin Phillips-Hill,David G. Argall,Judy Ward,Mike Regan,Patrick J. Stefano,Doug Mastriano,Jake Corman,Wayne Langerholc,Ryan P. Aument,Devlin J. Robinson,Lindsey M. Williams,Kim L. Ward,Mario M. Scavello,Joe Pittman,Wayne D. Fontana,Jay Costa,Katie J. Muth,James R. Brewster,Camera Bartolotta,Elder A. Vogel,Chris Gebhard,David J. Arnold Jr.,Daniel Laughlin,Michele Brooks
"HR 106 PN 1751, 2021 A1584, WARD, K. Amendment No. A-1584",148,2021-06-10 10:02:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"HB 854 PN 1752, Final Passage",149,2021-06-10 10:30:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
HR 106 PN 1753,150,2021-06-10 11:14:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
Weekly Recess,151,2021-06-14 13:25:00,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 423 PN 854, Final Passage",152,2021-06-14 16:17:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 524 PN 599, 2021 A1489, KEARNEY Amendment No. A-1489",153,2021-06-14 16:27:00,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,,N,N
"SB 524 PN 599, Final Passage",154,2021-06-14 16:31:00,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,,Y,Y
"SB 119 PN 125, Final Passage",155,2021-06-14 17:38:00,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,,Y,Y
"SB 319 PN 327, Final Passage",156,2021-06-14 17:46:00,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"SB 533 PN 511, 2021 A1657, YAW Amendment No. A-1657",157,2021-06-14 17:50:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"JOURNAL  Approval of the previous days Journal March 17, 2021",158,2021-06-15 13:26:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 478 PN 503, Final Passage",159,2021-06-15 16:31:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 503 PN 527, Final Passage",160,2021-06-15 16:32:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 533 PN 896, Final Passage",161,2021-06-15 16:35:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"SB 563 PN 609, Final Passage",162,2021-06-15 16:37:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 588 PN 648, Final Passage",163,2021-06-15 16:49:00,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,Y,Y
SR 142 PN 895,164,2021-06-15 16:57:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y
EXEC  Executive Nominations (Attached),165,2021-06-15 17:03:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"JOURNAL  Approval of the previous days Journal March 22, 2021",166,2021-06-16 11:24:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 255 PN 230, Final Passage",167,2021-06-16 12:18:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 265 PN 242, Final Passage",168,2021-06-16 12:19:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 267 PN 244, Final Passage",170,2021-06-16 12:21:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 266 PN 243, Final Passage",169,2021-06-16 12:21:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 268 PN 245, Final Passage",171,2021-06-16 12:22:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 269 PN 246, Final Passage",172,2021-06-16 12:23:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 416 PN 910, Final Passage",173,2021-06-16 12:32:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 561 PN 909, Final Passage",174,2021-06-16 12:33:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"HB 649 PN 1026, Final Passage",175,2021-06-16 12:36:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,,Y,Y
"HB 765 PN 1420, Final Passage",176,2021-06-16 12:40:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"HB 1154 PN 1844, Motion to Suspend Senate Rule 12",177,2021-06-16 13:08:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"HB 1154 PN 1844, Motion to Revert to Prior Printer's Number 1421",178,2021-06-16 13:19:00,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,,N,N
"HB 1154 PN 1844, Final Passage",179,2021-06-16 13:54:00,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,N
"JOURNAL  Approval of the previous days Journal March 23, 2021",180,2021-06-21 13:29:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 78 PN 65, 2021 A994, BAKER Amendment No. A-0994",181,2021-06-21 16:15:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 324 PN 850, Final Passage",182,2021-06-21 16:20:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 439 PN 457, Final Passage",183,2021-06-21 16:21:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 559 PN 738, Final Passage",184,2021-06-21 16:22:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 419 PN 418, 2021 A1929, SCAVELLO Amendment No. A-1929",185,2021-06-21 16:31:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
EXEC  Executive Nominations (Attached),186,2021-06-21 16:35:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"JOURNAL  Approval of the previous days Journal March 24, 2021",187,2021-06-22 13:22:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 208 PN 177, Final Passage",188,2021-06-22 16:49:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 305 PN 371, Final Passage",189,2021-06-22 16:54:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 419 PN 932, Final Passage",190,2021-06-22 16:55:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"HB 664 PN 1047, Final Passage",191,2021-06-22 16:56:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 668 PN 756, Final Passage",192,2021-06-22 16:58:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 434 PN 877, Concur in House Amendments",193,2021-06-22 17:07:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 769 PN 898, Final Passage",194,2021-06-22 17:15:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
EXEC  Executive Nominations  Secretary of Education Noe Ortega,195,2021-06-22 17:20:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y
EXEC  Executive Nominations  Secretary of Labor and Industry Jennifer L. Berrier,196,2021-06-22 17:22:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"JOURNAL  Approval of the previous day Journal April 19, 2021",197,2021-06-23 11:22:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"HB 196 PN 162, Final Passage",198,2021-06-23 14:58:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 550 PN 686, Final Passage",199,2021-06-23 15:01:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
SR 144 PN 926,200,2021-06-23 15:22:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 735 PN 899, 2021 A1977, WARD, J. Amendment No. A-1977",201,2021-06-23 15:32:00,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"SB 735 PN 899, 2021 A1909, Motion to Table MUTH Amendment No. A-1909",202,2021-06-23 15:40:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"SB 735 PN 899, 2021 A1931, BOSCOLA Amendment No. A-1931",203,2021-06-23 15:44:00,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,,N,N
"SB 735 PN 899, 2021 A1954, FONTANA Amendment No. A-1954",204,2021-06-23 15:50:00,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,,N,N
"SB 735 PN 899, 2021 A1965, Motion to Table CAPPELLETTI Amendment No. A-1965",205,2021-06-23 15:55:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"HB 827 PN 1901, Final Passage",206,2021-06-23 16:08:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 735 PN 952, Final Passage",207,2021-06-23 17:30:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"JOURNAL  Approval of the previous days Journal April 20, 2021",208,2021-06-24 10:26:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 78 PN 930, Final Passage",209,2021-06-24 13:53:00,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,Y,Y
"HB 101 PN 1008, Final Passage",210,2021-06-24 13:58:00,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N,Y
"HB 156 PN 121, Final Passage",211,2021-06-24 14:01:00,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"HB 178 PN 1370, Final Passage",212,2021-06-24 14:02:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 241 PN 200, Final Passage",213,2021-06-24 14:03:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 675 PN 746, Final Passage",214,2021-06-24 14:07:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"HB 741 PN 1866, Final Passage",215,2021-06-24 14:08:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 759 PN 936, Final Passage",216,2021-06-24 14:09:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"HB 859 PN 1309, Final Passage",217,2021-06-24 14:10:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
SR 139 PN 947,218,2021-06-24 14:20:00,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,Y,Y
"SB 618 PN 945, Concur in House Amendments",219,2021-06-24 14:43:00,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,,Y,Y
"SB 664 PN 954, Concur in House Amendments",220,2021-06-24 14:44:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
"SB 480 PN 505, Final Passage",221,2021-06-24 14:48:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y
